State,District,Latitude,Longitude,Population in 2001,Population in 2011
Goa,North Goa,15.54872342,73.80667998,758573,818008
Goa,South Goa,15.19527866,73.9417926,589095,640537
Gujarat,Ahmadabad,22.60542556,72.23898136,,
Gujarat,Amreli,21.04832649,71.43457638,1393918,1514190
Gujarat,Anand,22.28271821,72.57782052,1856872,2092745
Gujarat,Banas Kantha,24.25853897,71.93205253,2504244,3120506
Gujarat,Bharuch,21.75787276,72.67326347,1370656,1551019
Gujarat,Bhavnagar,21.7021939,72.16272633,2469630,2880365
Gujarat,Dahod,22.89799225,73.99170613,,
Gujarat,Gandhinagar,23.19367979,72.6722168,1237168,1391753
Gujarat,Jamnagar,22.41060041,69.62062006,1904278,2160119
Gujarat,Junagadh,20.92952301,70.5473389,2448173,2743082
Gujarat,Kachchh,23.48057203,68.82192301,1583225,2092371
Gujarat,Kheda,22.88765313,73.01880352,2037894,2299885
Gujarat,Mahesana,23.52935545,72.45545194,,
Gujarat,Narmada,21.70666386,73.68403209,514404,590297
Gujarat,Navsari,20.86697332,72.8618487,1229463,1329672
Gujarat,Panch Mahals,22.80435607,73.61984598,,
Gujarat,Patan,23.80634198,71.75162977,1182709,1343734
Gujarat,Porbandar,21.55092352,69.71896988,536835,585449
Gujarat,Rajkot,22.40603378,70.83679439,3169881,3804558
Gujarat,Sabar Kantha,23.71803595,73.1363879,2082531,2428589
Gujarat,Surat,21.25761373,72.93488716,4275540,6081322
Gujarat,Surendranagar,22.82672007,71.48358741,1515148,1756268
Gujarat,The Dangs,20.80163388,73.68835184,186729,228291
Gujarat,Vadodara,22.26133739,73.4943301,3641802,4165626
Gujarat,Valsad,20.44238232,72.91485848,1410553,1705678
Haryana,Ambala,30.35036723,76.94970311,1014411,1128350
Haryana,Bhiwani,28.72886806,76.02110226,1425022,1634445
Haryana,Faridabad,28.1487311,77.32718537,1365465,1809733
Haryana,Fatehabad,29.57298319,75.54608717,806158,942011
Haryana,Gurgaon,28.04389479,77.0193513,870539,1514432
Haryana,Hisar,29.23628731,75.84324683,1537117,1743931
Haryana,Jhajjar,28.59651868,76.61137143,880072,958405
Haryana,Jind,29.45149822,76.29598576,1189827,1334152
Haryana,Kaithal,29.96068539,76.3769893,946131,1074304
Haryana,Karnal,29.70320065,76.87488026,1274183,1505324
Haryana,Kurukshetra,30.0565266,76.7877468,825454,964655
Haryana,Mahendragarh,28.13521615,76.14018073,812521,922088
Haryana,Panchkula,30.70089714,76.97173238,468411,561293
Haryana,Panipat,29.34352134,76.92895915,967449,1205437
Haryana,Rewari,28.19164715,76.55956008,765351,900332
Haryana,Rohtak,28.89251765,76.53123235,940128,1061204
Haryana,Sirsa,29.63583446,74.9097048,1116649,1295189
Haryana,Sonepat,29.05805708,76.8558708,,
Haryana,Yamuna Nagar,30.26466183,77.31652822,,
Himachal Pradesh,Bilaspur,31.37804229,76.65316079,340885,381956
Himachal Pradesh,Chamba,32.66741815,76.39354063,460887,519080
Himachal Pradesh,Hamirpur,31.67668481,76.49767089,412700,454768
Himachal Pradesh,Kangra,32.14093603,76.41205911,1339030,1510075
Himachal Pradesh,Kinnaur,31.60667184,78.51613736,78334,84121
Himachal Pradesh,Kullu,31.90911922,77.40922649,381571,437903
Himachal Pradesh,Lahul and Spiti,32.51717031,77.62470977,,
Himachal Pradesh,Mandi,31.63580594,76.96556931,901344,999777
Himachal Pradesh,Shimla,31.15572545,77.62573042,722502,814010
Himachal Pradesh,Sirmaur,30.68276445,77.4318469,458593,529855
Himachal Pradesh,Solan,31.03864312,76.94442141,500557,580320
Himachal Pradesh,Una,31.58330388,76.18353932,448273,521173
Jammu and Kashmir,Anantnag (Kashmir South),33.76027273,75.30390606,,
Jammu and Kashmir,Bagdam,33.93258113,74.79798113,,
Jammu and Kashmir,Baramula (Kashmir North),34.38125376,74.76359942,,
Jammu and Kashmir,Doda,33.35961468,76.0716372,,
Jammu and Kashmir,Jammu,32.7131991,74.84775204,,
Jammu and Kashmir,Kargil,33.56599489,76.63675315,,
Jammu and Kashmir,Kathua,32.51781678,75.58901399,,
Jammu and Kashmir,Kupwara (Muzaffarabad),34.59923474,74.21587684,,
Jammu and Kashmir,Ladakh (Leh),33.5857922,78.30725928,,
Jammu and Kashmir,Pulwama,33.88414419,75.0092186,,
Jammu and Kashmir,Punch,33.79124129,74.29593161,,
Jammu and Kashmir,Rajauri,33.27232199,74.40776879,,
Jammu and Kashmir,Srinagar,34.27312899,75.11021159,,
Jammu and Kashmir,Udhampur,33.04770671,75.15286951,,
Jharkhand,Bokaro,23.6814965,85.98398374,1777662,2062330
Jharkhand,Chatra,24.11619946,84.93295805,808135,1042886
Jharkhand,Deoghar,24.33070101,86.75697632,1165390,1492073
Jharkhand,Dhanbad,23.85450909,86.40372925,2397102,2684487
Jharkhand,Dumka,24.27500613,87.2766245,1106521,1321442
Jharkhand,Garhwa,24.08211469,83.68664266,1035464,1322784
Jharkhand,Giridih,24.3057851,86.08710916,1905343,2445474
Jharkhand,Godda,24.8189,87.29417355,1047939,1313551
Jharkhand,Gumla,23.07853295,84.55056787,832447,1025213
Jharkhand,Hazaribag,23.94324197,85.49441312,,
Jharkhand,Jamtara,23.97873318,86.9532508,653081,791042
Jharkhand,Koderma,24.55671943,85.71690919,,
Jharkhand,Latehar,23.72511186,84.48298743,560894,726978
Jharkhand,Lohardaga,23.48879604,84.66051691,364521,461790
Jharkhand,Pakur,24.57260428,87.69691969,701664,900422
Jharkhand,Palamu,24.19692597,84.20310843,1537465,1939869
Jharkhand,Pashchim Singhbhum,22.39940849,85.5409841,,
Jharkhand,Purba Singhbhum,22.59133436,86.50910135,,
Jharkhand,Ranchi,23.18423506,85.31781937,2350245,2914253
Jharkhand,Sahibganj,24.9366799,87.68264098,927770,1150567
Jharkhand,Saraikela Kharsawan,22.85591392,85.89614919,,
Jharkhand,Simdega,22.60876039,84.59193692,514320,599578
Karnataka,Bagalkot,16.15860676,75.64526071,1651892,1889752
Karnataka,Bangalore Rural,12.93682709,77.47369315,850968,990923
Karnataka,Bangalore Urban,12.90192493,77.58685596,,
Karnataka,Belgaum,16.16107219,74.72329042,4214505,4779661
Karnataka,Bellary,15.07437755,76.47228471,2027140,2452595
Karnataka,Bidar,17.95036173,77.19459962,1502373,1703300
Karnataka,Bijapur,16.84015317,75.95909167,1806918,2177331
Karnataka,Chamrajnagar,11.95248,77.0238496,,
Karnataka,Chikmagalur,13.42528829,75.67626502,,
Karnataka,Chitradurga,14.2910222,76.57821957,1517896,1659456
Karnataka,Dakshin Kannad,12.89120455,74.96216278,,
Karnataka,Davanagere,14.33041459,75.91723841,1790952,1945497
Karnataka,Dharwad,15.34383138,75.13831264,1604253,1847023
Karnataka,Gadag,15.50712826,75.64861303,971835,1064570
Karnataka,Gulbarga,17.07045952,76.8750385,2174742,2566326
Karnataka,Hassan,12.94509875,76.1104955,1721669,1776421
Karnataka,Haveri,14.73758281,75.39612306,1439116,1597668
Karnataka,Kodagu,12.39684468,75.79336596,548561,554519
Karnataka,Kolar,13.31279988,78.01376948,1387062,1536401
Karnataka,Koppal,15.65125327,76.16170486,1196089,1389920
Karnataka,Mandya,12.57490181,76.81570099,1763705,1805769
Karnataka,Mysore,12.24810026,76.52881803,2641027,3001127
Karnataka,Raichur,16.05079535,76.87368606,1669762,1928812
Karnataka,Shimoga,14.06384589,75.17882078,1642545,1752753
Karnataka,Tumkur,13.59246776,77.02297966,2584711,2678980
Karnataka,Udupi,13.45040423,74.7200999,1112243,1177361
Karnataka,Uttar Kannand,14.53895798,74.35229081,,
Kerala,Alappuzha,9.542602966,76.38010796,2109160,2127789
Kerala,Ernakulam,10.0048793,76.26957729,3105798,3282388
Kerala,Idukki,9.804809639,77.04586642,1129221,1108974
Kerala,Kannur,11.94152308,75.35209892,2408956,2523003
Kerala,Kasaragod,12.3331031,75.07768497,1204078,1307375
Kerala,Kollam,8.929388821,76.63607759,2585208,2635375
Kerala,Kottayam,9.643701174,76.46059673,1953646,1974551
Kerala,Kozhikode,11.39292427,75.7115872,2879131,3086293
Kerala,Malappuram,10.97329876,75.93910776,3625471,4112920
Kerala,Palakkad,10.7849269,76.49980491,2617482,2809934
Kerala,Pattanamtitta,9.291312393,76.86412329,,
Kerala,Thiruvananthapuram,8.537101759,76.88711503,3234356,3301427
Kerala,Thrissur,10.45893265,76.12321941,2974232,3121200
Kerala,Wayanad,11.71527746,76.07587007,780619,817420
Lakshadweep,Kavaratti,10.43639053,72.82992744,,
Madhya Pradesh,Anuppur,23.1818422,81.8656,667155,749237
Madhya Pradesh,Ashoknagar,24.63098846,77.82974494,688940,845071
Madhya Pradesh,Balaghat,21.80020721,80.42170053,1497968,1701698
Madhya Pradesh,Barwani,21.70213571,74.9100472,1086366,1385881
Madhya Pradesh,Betul,21.96462632,77.78734282,1395175,1575362
Madhya Pradesh,Bhind,26.35951126,78.76183243,1428559,1703005
Madhya Pradesh,Bhopal,23.48072614,77.39246623,1843510,2371061
Madhya Pradesh,Burhanpur,21.36456725,76.24460479,634883,757847
Madhya Pradesh,Chhatarpur,24.81363738,79.56449299,1474723,1762375
Madhya Pradesh,Chhindwara,22.22796697,78.76413136,1849283,2090922
Madhya Pradesh,Damoh,23.76624408,79.47049303,1083949,1264219
Madhya Pradesh,Datia,25.9022644,78.63916571,664159,786754
Madhya Pradesh,Dewas,22.785111,76.46088806,1308223,1563715
Madhya Pradesh,Dhar,22.57268172,75.11056207,1740329,2185793
Madhya Pradesh,Dindori,22.83738437,81.04332967,580730,704524
Madhya Pradesh,East Nimar,22.0989856,76.55805504,,
Madhya Pradesh,Guna,24.49043927,77.2235896,977827,1241519
Madhya Pradesh,Gwalior,26.04074442,78.12782433,1632109,2032036
Madhya Pradesh,Harda,22.22765978,77.07022572,474416,570465
Madhya Pradesh,Hoshangabad,22.5952688,78.02168095,1084265,1241350
Madhya Pradesh,Indore,22.68026575,75.91338013,2465827,3276697
Madhya Pradesh,Jabalpur,23.18525572,79.98328755,2151203,2463289
Madhya Pradesh,Jhabua,22.41957802,74.40921617,784286,1025048
Madhya Pradesh,Katni,23.72441623,80.33819666,1064167,1292042
Madhya Pradesh,Mandla,22.70348712,80.38600544,894236,1054905
Madhya Pradesh,Mandsaur,24.19278764,75.43588668,1183724,1340411
Madhya Pradesh,Morena,26.37313505,77.88447341,1592714,1965970
Madhya Pradesh,Narsinghpur,22.95134468,79.00202423,,
Madhya Pradesh,Neemuch,24.70311893,75.06608187,726070,826067
Madhya Pradesh,Panna,24.45132584,80.21133001,856558,1016520
Madhya Pradesh,Raisen,23.29251821,78.16305496,1125154,1331597
Madhya Pradesh,Rajgarh,23.78549903,76.66431224,1254085,1545814
Madhya Pradesh,Ratlam,23.50356229,75.14895782,1215393,1455069
Madhya Pradesh,Rewa,24.86118463,81.57572465,1973306,2365106
Madhya Pradesh,Sagar,23.80031871,78.71940358,2021987,2378458
Madhya Pradesh,Satna,24.62777622,80.75547049,1870104,2228935
Madhya Pradesh,Sehore,22.92971997,77.06780203,1078912,1311332
Madhya Pradesh,Seoni,22.33230488,79.66053864,1166608,1379131
Madhya Pradesh,Shahdol,23.44859865,81.45968318,908148,1066063
Madhya Pradesh,Shajapur,23.56662032,76.33555181,1290685,1512681
Madhya Pradesh,Sheopur,25.78014811,77.16911117,559495,687861
Madhya Pradesh,Shivpuri,25.37802452,77.74861601,1406031,1726050
Madhya Pradesh,Sidhi,24.1754719,82.10537834,910983,1127033
Madhya Pradesh,Tikamgarh,25.14099852,78.89357065,1202998,1445166
Madhya Pradesh,Ujjain,23.31928886,75.80383718,1710982,1986864
Madhya Pradesh,Umaria,23.59601063,80.90879477,515963,644758
Madhya Pradesh,Vidisha,23.82838308,77.90135076,1214857,1458875
Madhya Pradesh,West Nimar,22.02714,75.87343742,,
Maharashtra,Ahmednagar,19.21759903,74.69220261,,
Maharashtra,Akola,20.74631048,77.1212232,1629633,1813906
Maharashtra,Amravati,21.16520992,77.67583503,2607160,2888445
Maharashtra,Aurangabad,20.09792288,75.32072197,2902602,3701282
Maharashtra,Bhandara,21.21179265,80.109502,1136146,1200334
Maharashtra,Bid,18.95235334,75.69319706,,
Maharashtra,Buldana,20.56680611,76.3901788,,
Maharashtra,Chandrapur,20.09560909,79.3155638,2071101,2204307
Maharashtra,Dhule,21.27401869,74.58719072,1707947,2050862
Maharashtra,Garhchiroli,19.7955461,80.30965564,,
Maharashtra,Gondiya,21.22500841,80.17522699,,
Maharashtra,Greater Bombay,19.08506979,72.84261961,,
Maharashtra,Hingoli,19.59525302,77.09239413,987160,1177345
Maharashtra,Jalgaon,20.88289434,75.55140422,3682690,4229917
Maharashtra,Jalna,19.98461253,75.98473607,1607391,1959046
Maharashtra,Kolhapur,16.44881302,74.12897151,3523162,3876001
Maharashtra,Latur,18.34868727,76.75812608,2080285,2454196
Maharashtra,Nagpur,21.19655686,79.02166176,4067637,4653570
Maharashtra,Nanded,19.20931698,77.6829049,2876259,3361292
Maharashtra,Nandurbar,21.52317563,74.32638757,1311709,1648295
Maharashtra,Nashik,20.26691287,74.03824168,4993796,6107187
Maharashtra,Osmanabad,18.19459456,75.99495575,1486586,1657576
Maharashtra,Parbhani,19.31032425,76.70163339,1527715,1836086
Maharashtra,Pune,18.51696171,74.12922882,7232555,9429408
Maharashtra,Raigarh,18.45325764,73.00906094,,
Maharashtra,Ratnagiri,17.21019507,73.25725894,1696777,1615069
Maharashtra,Sangli,17.15493018,74.70713823,2583524,2822143
Maharashtra,Satara,17.6737909,74.18052064,2808994,3003741
Maharashtra,Sindhudurg,16.17094805,73.51329008,868825,849651
Maharashtra,Solapur,17.83735794,75.42394824,3849543,4317756
Maharashtra,Thane,19.69876775,72.79882743,8131849,11060148
Maharashtra,Wardha,20.80743024,78.57259106,1236736,1300774
Maharashtra,Washim,20.28228239,77.25502394,1020822,1197160
Maharashtra,Yavatmal,20.04258347,78.05326372,2458271,2772348
Manipur,Bishnupur,24.50712112,93.8246236,208368,237399
Manipur,Chandel,24.2635813,94.09443844,118327,144182
Manipur,Churachandpur,24.30309719,93.38671506,227905,274143
Manipur,East Imphal,24.82105807,93.66951205,,
Manipur,Senapati,25.08465586,94.03366234,283621,479148
Manipur,Tamenglong,24.98312942,93.4945074,111499,140651
Manipur,Thoubal,24.54539255,93.97959894,364140,422168
Manipur,Ukhrul,25.05900315,94.44129567,140778,183998
Manipur,West Imphal,24.79400559,93.8885905,,
Meghalaya,East Garo Hills,25.82728228,90.64684925,252399,317917
Meghalaya,East Khasi Hills,25.30376389,91.7592252,660923,825922
Meghalaya,Jaintia Hills,25.33959557,92.3760816,299108,395124
Meghalaya,Ri-Bhoi,25.897066,91.84516159,,
Meghalaya,South Garo Hills,25.24056858,90.64560349,110244,142334
Meghalaya,West Garo Hills,25.49528519,90.03709947,507309,643291
Meghalaya,West Khasi Hills,25.50088993,91.25364542,296049,383461
Mizoram,Aizawl,23.90781335,92.85359459,325676,400309
Mizoram,Champhai,23.54166581,93.24221799,107793,125745
Mizoram,Kolasib,24.20200043,92.73470391,65960,83955
Mizoram,Lawngtlai,22.36102843,92.66964157,87592,117894
Mizoram,Lunglei,23.00771704,92.63512555,137223,161428
Mizoram,Mamit,23.73852943,92.43308038,62785,86364
Mizoram,Saiha,22.35744801,93.02827931,47084,56574
Mizoram,Serchhip,23.26386471,92.9141585,54460,64937
Nagaland,Dimapur,25.81417681,93.75074058,308429,378811
Nagaland,Kohima,25.60311429,93.78600658,219913,267988
Nagaland,Mokokchung,26.47891176,94.52242601,232085,194622
Nagaland,Mon,26.69207374,95.03072989,260652,250260
Nagaland,Phek,25.63272987,94.56814564,148195,163418
Nagaland,Tuensang,26.21104453,94.85809881,186003,196596
Nagaland,Wokha,26.20261155,94.19908152,161223,166343
Nagaland,Zunheboto,26.02817821,94.50026667,154598,140757
Orissa,Angul,21.1207062,84.99839213,,
Orissa,Baleshwar,21.48570932,87.08085828,,
Orissa,Baragarh,21.13240638,83.264445,,
Orissa,Bhadrak,20.95262735,86.81496205,,
Orissa,Bolangir,20.6163003,83.2152006,,
Orissa,Boudh,20.58319074,84.12363307,,
Orissa,Cuttack,20.40764065,85.77768102,,
Orissa,Deogarh,21.43146202,84.81452481,,
Orissa,Dhenkanal,20.79887159,85.53226836,,
Orissa,Gajapati,19.12108088,84.14015092,,
Orissa,Ganjam,19.26326176,84.8029771,,
Orissa,Jagatsinghpur,20.11444318,86.43265259,,
Orissa,Jajpur,20.85324909,86.15277301,,
Orissa,Jharsuguda,21.82705857,83.93581682,,
Orissa,Kalahandi,19.78425309,83.11240438,,
Orissa,Kandhamal,20.09287862,84.02216353,,
Orissa,Kendrapara,20.60631982,86.83763248,,
Orissa,Keonjhar,21.4922574,85.76276987,,
Orissa,Khordha,20.05416232,85.52234834,,
Orissa,Koraput,18.82627795,82.8127847,,
Orissa,Malkangiri,18.2522793,81.98293636,,
Orissa,Mayurbhanj,21.89762155,86.40304081,,
Orissa,Nabarangpur,19.51304717,82.4204196,,
Orissa,Nayagarh,20.19289562,85.056147,,
Orissa,Nuapada,20.47130951,82.59152537,,
Orissa,Puri,19.83509175,85.8669899,,
Orissa,Rayagada,19.29284002,83.4586012,,
Orissa,Sambalpur,21.51575238,84.34958483,,
Orissa,Sonepur,20.89080329,83.76852635,,
Orissa,Sundargarh,22.06354819,84.50524819,,
Puducherry,Karaikal,10.87616173,79.82369794,,
Puducherry,Mahe,12.00642079,75.28275022,,
Puducherry,Puducherry,11.88780627,79.79710961,,
Puducherry,Yanam,16.70769565,82.26187304,,
Punjab,Amritsar,31.54867982,74.79883857,2157020,2490656
Punjab,Bathinda,30.19052461,75.05685898,1183295,1388525
Punjab,Faridkot,30.59118725,74.79751554,550892,617508
Punjab,Fatehgarh Sahib,30.64290947,76.36208395,538470,600163
Punjab,Firozpur,30.63407535,74.40245732,1746107,2029074
Punjab,Gurdaspur,32.04283371,75.32040644,2103455,2298323
Punjab,Hoshiarpur,31.5515717,75.84698574,1481292,1586625
Punjab,Jalandhar,31.25033691,75.54400351,1962761,2193590
Punjab,Kapurthala,31.33659264,75.47641166,754521,815168
Punjab,Ludhiana,30.76596397,75.83110852,3032831,3498739
Punjab,Mansa,29.91954771,75.43049229,688758,769751
Punjab,Moga,30.75654007,75.16008451,894793,995746
Punjab,Muktsar,30.31243303,74.55187477,,
Punjab,Nawan Shehar,31.13344545,76.10192436,,
Punjab,Patiala,30.21454038,76.27505894,1584780,1895686
Punjab,Rupnagar,30.91093733,76.53743501,628846,684627
Punjab,Sangrur,30.1850452,75.89437014,1473242,1655169
Rajasthan,Ajmer,26.19930038,74.69904192,2178447,2583052
Rajasthan,Alwar,27.55271738,76.65359631,2991552,3674179
Rajasthan,Banswara,23.45364203,74.44246868,1420601,1797485
Rajasthan,Baran,24.98023243,76.86210652,1021473,1222755
Rajasthan,Barmer,25.77070908,71.50297126,1964835,2603751
Rajasthan,Bharatpur,27.32411858,77.21752077,2100020,2548462
Rajasthan,Bhilwara,25.45119768,74.63947596,2020969,2408523
Rajasthan,Bikaner,28.12489068,73.26943323,1696039,2363937
Rajasthan,Bundi,25.48580716,75.79984074,962620,1110906
Rajasthan,Chittaurgarh,24.63162376,74.80010998,,
Rajasthan,Churu,28.29330376,74.65846427,1902110,2039547
Rajasthan,Dausa,26.91234818,76.57342097,1323002,1634409
Rajasthan,Dhaulpur,26.72397055,77.7447622,,
Rajasthan,Dungarpur,23.75104808,73.84765641,1107643,1388552
Rajasthan,Ganganagar,29.25678541,73.56192303,,
Rajasthan,Hanumangarh,29.18133518,74.74632573,1518005,1774692
Rajasthan,Jaipur,27.03345929,75.77117286,5251071,6626178
Rajasthan,Jaisalmer,26.86900839,71.18371877,508247,669919
Rajasthan,Jalor,25.07578094,72.18647262,,
Rajasthan,Jhalawar,24.24725541,76.11242892,1180323,1411129
Rajasthan,Jhunjhunun,28.13517401,75.52840894,,
Rajasthan,Jodhpur,26.67846084,73.00450847,2886505,3687165
Rajasthan,Karauli,26.51901556,76.96081818,1205888,1458248
Rajasthan,Kota,25.17571808,76.18618928,1568705,1951014
Rajasthan,Nagaur,27.07862016,74.14215667,2775058,3307743
